file_name,snr_db,method,wer,cer,latency_ms
6930-75918-0000_babble_snr20dB.wav,20.0,none,0.125,0.0217,1578.44
6930-75918-0000_babble_snr20dB.wav,20.0,wiener,0.125,0.0217,951.16
6930-75918-0000_babble_snr20dB.wav,20.0,spectral_subtraction,0.125,0.0217,945.69
6930-75918-0000_babble_snr10dB.wav,10.0,none,0.125,0.0217,839.86
6930-75918-0000_babble_snr10dB.wav,10.0,wiener,0.375,0.1522,943.07
6930-75918-0000_babble_snr10dB.wav,10.0,spectral_subtraction,0.125,0.0652,1028.07
6930-75918-0000_babble_snr5dB.wav,5.0,none,0.375,0.1087,953.03
6930-75918-0000_babble_snr5dB.wav,5.0,wiener,0.5,0.1739,966.74
6930-75918-0000_babble_snr5dB.wav,5.0,spectral_subtraction,0.625,0.3478,993.09
6930-75918-0007_babble_snr20dB.wav,20.0,none,0.1111,0.027,989.24
6930-75918-0007_babble_snr20dB.wav,20.0,wiener,0.2222,0.0541,1002.99
6930-75918-0007_babble_snr20dB.wav,20.0,spectral_subtraction,0.1111,0.027,1060.29
6930-75918-0007_babble_snr10dB.wav,10.0,none,0.2222,0.1351,1052.45
6930-75918-0007_babble_snr10dB.wav,10.0,wiener,0.2222,0.0541,1015.55
6930-75918-0007_babble_snr10dB.wav,10.0,spectral_subtraction,0.2222,0.0541,1028.5
6930-75918-0007_babble_snr5dB.wav,5.0,none,0.2222,0.0541,1097.52
6930-75918-0007_babble_snr5dB.wav,5.0,wiener,0.2222,0.0541,1195.49
6930-75918-0007_babble_snr5dB.wav,5.0,spectral_subtraction,0.2222,0.0541,1137.46
6930-75918-0006_babble_snr20dB.wav,20.0,none,0.1176,0.022,1488.42
6930-75918-0006_babble_snr20dB.wav,20.0,wiener,0.1176,0.022,1582.76
6930-75918-0006_babble_snr20dB.wav,20.0,spectral_subtraction,0.1765,0.033,1603.55
6930-75918-0006_babble_snr10dB.wav,10.0,none,0.3529,0.1319,1575.08
6930-75918-0006_babble_snr10dB.wav,10.0,wiener,0.3529,0.1538,1532.54
6930-75918-0006_babble_snr10dB.wav,10.0,spectral_subtraction,0.4118,0.2198,1569.13
6930-75918-0006_babble_snr5dB.wav,5.0,none,0.7059,0.2747,1728.08
6930-75918-0006_babble_snr5dB.wav,5.0,wiener,0.6471,0.6044,1572.3
6930-75918-0006_babble_snr5dB.wav,5.0,spectral_subtraction,0.7059,0.6484,1814.0
6930-75918-0005_babble_snr20dB.wav,20.0,none,0.0909,0.0161,2488.22
6930-75918-0005_babble_snr20dB.wav,20.0,wiener,0.0909,0.0161,2546.18
6930-75918-0005_babble_snr20dB.wav,20.0,spectral_subtraction,0.1212,0.0215,2661.17
6930-75918-0005_babble_snr10dB.wav,10.0,none,0.0909,0.0161,2380.67
6930-75918-0005_babble_snr10dB.wav,10.0,wiener,0.1515,0.0484,2623.77
6930-75918-0005_babble_snr10dB.wav,10.0,spectral_subtraction,0.2727,0.1022,2640.1
6930-75918-0005_babble_snr5dB.wav,5.0,none,0.4242,0.2527,2255.45
6930-75918-0005_babble_snr5dB.wav,5.0,wiener,0.6061,0.3441,2696.62
6930-75918-0005_babble_snr5dB.wav,5.0,spectral_subtraction,0.6364,0.3817,2650.99
6930-75918-0004_babble_snr20dB.wav,20.0,none,0.1613,0.0405,2701.3
6930-75918-0004_babble_snr20dB.wav,20.0,wiener,0.1613,0.0405,2616.0
6930-75918-0004_babble_snr20dB.wav,20.0,spectral_subtraction,0.3548,0.1445,3015.25
6930-75918-0004_babble_snr10dB.wav,10.0,none,0.2258,0.0636,2708.39
6930-75918-0004_babble_snr10dB.wav,10.0,wiener,0.2258,0.0636,2616.8
