file_name,snr_db,method,wer,cer,latency_ms
6930-75918-0000_pink_snr20dB.wav,20.0,none,0.125,0.0217,1537.03
6930-75918-0000_pink_snr20dB.wav,20.0,wiener,0.375,0.1522,902.96
6930-75918-0000_pink_snr20dB.wav,20.0,spectral_subtraction,0.25,0.0652,831.45
6930-75918-0000_pink_snr10dB.wav,10.0,none,0.125,0.0217,895.58
6930-75918-0000_pink_snr10dB.wav,10.0,wiener,0.25,0.0435,853.47
6930-75918-0000_pink_snr10dB.wav,10.0,spectral_subtraction,0.125,0.0217,899.85
6930-75918-0000_pink_snr5dB.wav,5.0,none,0.125,0.0217,817.36
6930-75918-0000_pink_snr5dB.wav,5.0,wiener,0.25,0.0435,838.52
6930-75918-0000_pink_snr5dB.wav,5.0,spectral_subtraction,0.5,0.2609,880.65
6930-75918-0007_pink_snr20dB.wav,20.0,none,0.1111,0.027,853.28
6930-75918-0007_pink_snr20dB.wav,20.0,wiener,0.1111,0.027,802.94
6930-75918-0007_pink_snr20dB.wav,20.0,spectral_subtraction,0.1111,0.027,888.92
6930-75918-0007_pink_snr10dB.wav,10.0,none,0.1111,0.027,872.38
6930-75918-0007_pink_snr10dB.wav,10.0,wiener,0.1111,0.027,1021.73
6930-75918-0007_pink_snr10dB.wav,10.0,spectral_subtraction,0.3333,0.1351,1688.99
6930-75918-0007_pink_snr5dB.wav,5.0,none,0.1111,0.027,1708.42
6930-75918-0007_pink_snr5dB.wav,5.0,wiener,0.2222,0.0541,1743.46
6930-75918-0007_pink_snr5dB.wav,5.0,spectral_subtraction,0.4444,0.2703,1684.95
6930-75918-0006_pink_snr20dB.wav,20.0,none,0.1176,0.022,2403.63
6930-75918-0006_pink_snr20dB.wav,20.0,wiener,0.1765,0.033,2393.63
6930-75918-0006_pink_snr20dB.wav,20.0,spectral_subtraction,0.1765,0.033,2453.25
6930-75918-0006_pink_snr10dB.wav,10.0,none,0.1765,0.033,2558.89
6930-75918-0006_pink_snr10dB.wav,10.0,wiener,0.3529,0.2088,2286.6
6930-75918-0006_pink_snr10dB.wav,10.0,spectral_subtraction,0.4118,0.1758,2418.04
6930-75918-0006_pink_snr5dB.wav,5.0,none,0.2941,0.1648,2256.64
6930-75918-0006_pink_snr5dB.wav,5.0,wiener,0.5294,0.3187,1884.98
6930-75918-0006_pink_snr5dB.wav,5.0,spectral_subtraction,0.6471,0.4396,1128.23
6930-75918-0005_pink_snr20dB.wav,20.0,none,0.0909,0.0161,1954.47
6930-75918-0005_pink_snr20dB.wav,20.0,wiener,0.0909,0.0161,1903.33
6930-75918-0005_pink_snr20dB.wav,20.0,spectral_subtraction,0.0909,0.0161,1848.3
6930-75918-0005_pink_snr10dB.wav,10.0,none,0.1212,0.0215,1929.59
6930-75918-0005_pink_snr10dB.wav,10.0,wiener,0.0606,0.0108,1921.49
6930-75918-0005_pink_snr10dB.wav,10.0,spectral_subtraction,0.1818,0.0591,2057.07
6930-75918-0005_pink_snr5dB.wav,5.0,none,0.0606,0.0108,1886.35
6930-75918-0005_pink_snr5dB.wav,5.0,wiener,0.2727,0.1075,1813.42
6930-75918-0005_pink_snr5dB.wav,5.0,spectral_subtraction,0.3939,0.1828,2110.01
6930-75918-0004_pink_snr20dB.wav,20.0,none,0.1613,0.0405,1884.47
6930-75918-0004_pink_snr20dB.wav,20.0,wiener,0.1613,0.0405,1930.04
6930-75918-0004_pink_snr20dB.wav,20.0,spectral_subtraction,0.2258,0.0867,2017.17
6930-75918-0004_pink_snr10dB.wav,10.0,none,0.1613,0.0405,2089.57
6930-75918-0004_pink_snr10dB.wav,10.0,wiener,0.1613,0.0405,1958.62
6930-75918-0004_pink_snr10dB.wav,10.0,spectral_subtraction,0.3226,0.2197,2014.8
6930-75918-0004_pink_snr5dB.wav,5.0,none,0.1613,0.0405,1979.21
6930-75918-0004_pink_snr5dB.wav,5.0,wiener,0.1935,0.0751,1966.82
6930-75918-0004_pink_snr5dB.wav,5.0,spectral_subtraction,0.3871,0.2659,1894.8
6930-75918-0002_pink_snr20dB.wav,20.0,none,0.4545,0.1154,1017.36
6930-75918-0002_pink_snr20dB.wav,20.0,wiener,0.3636,0.1026,1048.61
6930-75918-0002_pink_snr20dB.wav,20.0,spectral_subtraction,0.4545,0.1282,1103.86
6930-75918-0002_pink_snr10dB.wav,10.0,none,0.3636,0.1026,971.56
6930-75918-0002_pink_snr10dB.wav,10.0,wiener,0.2727,0.0897,1031.15
6930-75918-0002_pink_snr10dB.wav,10.0,spectral_subtraction,0.4545,0.1282,1035.74
