file_name,snr_db,method,wer,latency_ms
6930-75918-0000_snr20dB.wav,20.0,none,0.125,2076.78
6930-75918-0000_snr20dB.wav,20.0,wiener,0.25,1418.68
6930-75918-0000_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0000_snr10dB.wav,10.0,none,0.5,1254.78
6930-75918-0000_snr10dB.wav,10.0,wiener,0.375,1302.35
6930-75918-0000_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0000_snr5dB.wav,5.0,none,0.625,1372.55
6930-75918-0000_snr5dB.wav,5.0,wiener,0.5,1221.15
6930-75918-0000_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0007_snr20dB.wav,20.0,none,0.1111,1250.74
6930-75918-0007_snr20dB.wav,20.0,wiener,0.1111,1194.8
6930-75918-0007_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0007_snr10dB.wav,10.0,none,0.1111,1220.1
6930-75918-0007_snr10dB.wav,10.0,wiener,0.1111,1265.07
6930-75918-0007_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0007_snr5dB.wav,5.0,none,0.2222,1259.41
6930-75918-0007_snr5dB.wav,5.0,wiener,0.1111,1222.53
6930-75918-0007_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0006_snr20dB.wav,20.0,none,0.1765,2267.62
6930-75918-0006_snr20dB.wav,20.0,wiener,0.1176,2754.45
6930-75918-0006_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0006_snr10dB.wav,10.0,none,0.1765,2265.62
6930-75918-0006_snr10dB.wav,10.0,wiener,0.1765,2186.39
6930-75918-0006_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0006_snr5dB.wav,5.0,none,0.1765,1793.52
6930-75918-0006_snr5dB.wav,5.0,wiener,0.3529,1676.57
6930-75918-0006_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0005_snr20dB.wav,20.0,none,0.1212,2796.01
6930-75918-0005_snr20dB.wav,20.0,wiener,0.1212,3057.77
6930-75918-0005_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0005_snr10dB.wav,10.0,none,0.1212,3141.83
6930-75918-0005_snr10dB.wav,10.0,wiener,0.1515,2949.49
6930-75918-0005_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0005_snr5dB.wav,5.0,none,0.1818,2783.39
6930-75918-0005_snr5dB.wav,5.0,wiener,0.2121,2860.24
6930-75918-0005_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0004_snr20dB.wav,20.0,none,0.1613,3588.6
6930-75918-0004_snr20dB.wav,20.0,wiener,0.1613,3797.61
6930-75918-0004_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0004_snr10dB.wav,10.0,none,0.1613,5450.21
6930-75918-0004_snr10dB.wav,10.0,wiener,0.1613,7450.26
6930-75918-0004_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0004_snr5dB.wav,5.0,none,0.2581,7941.89
6930-75918-0004_snr5dB.wav,5.0,wiener,0.1613,7316.37
6930-75918-0004_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0002_snr20dB.wav,20.0,none,0.4545,3859.52
6930-75918-0002_snr20dB.wav,20.0,wiener,0.3636,2387.0
6930-75918-0002_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0002_snr10dB.wav,10.0,none,0.4545,2129.73
6930-75918-0002_snr10dB.wav,10.0,wiener,0.2727,1538.87
6930-75918-0002_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0002_snr5dB.wav,5.0,none,0.2727,1456.99
6930-75918-0002_snr5dB.wav,5.0,wiener,0.2727,1677.01
6930-75918-0002_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0011_snr20dB.wav,20.0,none,0.2,1692.31
6930-75918-0011_snr20dB.wav,20.0,wiener,0.2,1551.41
6930-75918-0011_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0011_snr10dB.wav,10.0,none,0.2,1205.62
6930-75918-0011_snr10dB.wav,10.0,wiener,0.2,1218.16
6930-75918-0011_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0011_snr5dB.wav,5.0,none,0.3,1296.49
6930-75918-0011_snr5dB.wav,5.0,wiener,0.4,1313.77
6930-75918-0011_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0015_snr20dB.wav,20.0,none,0.2941,1895.41
6930-75918-0015_snr20dB.wav,20.0,wiener,0.2941,1866.65
6930-75918-0015_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0015_snr10dB.wav,10.0,none,0.2941,1859.04
6930-75918-0015_snr10dB.wav,10.0,wiener,0.2941,1819.1
6930-75918-0015_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0015_snr5dB.wav,5.0,none,0.2941,1824.02
6930-75918-0015_snr5dB.wav,5.0,wiener,0.2941,1568.27
6930-75918-0015_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0003_snr20dB.wav,20.0,none,0.1406,6694.37
6930-75918-0003_snr20dB.wav,20.0,wiener,0.1094,6602.95
6930-75918-0003_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0003_snr10dB.wav,10.0,none,0.125,5046.95
6930-75918-0003_snr10dB.wav,10.0,wiener,0.125,6528.11
6930-75918-0003_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0003_snr5dB.wav,5.0,none,0.1719,12446.52
6930-75918-0003_snr5dB.wav,5.0,wiener,0.1719,12213.06
6930-75918-0003_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0010_snr20dB.wav,20.0,none,0.1667,2940.41
6930-75918-0010_snr20dB.wav,20.0,wiener,0.1667,2852.93
6930-75918-0010_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0010_snr10dB.wav,10.0,none,0.1667,2801.81
6930-75918-0010_snr10dB.wav,10.0,wiener,0.3333,2955.32
6930-75918-0010_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0010_snr5dB.wav,5.0,none,0.6667,3195.46
6930-75918-0010_snr5dB.wav,5.0,wiener,0.1667,3471.17
6930-75918-0010_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0001_snr20dB.wav,20.0,none,0.1163,4901.59
6930-75918-0001_snr20dB.wav,20.0,wiener,0.1163,4223.53
6930-75918-0001_snr20dB.wav,20.0,spectral_subtraction,-1,-1
