file_name,snr_db,method,wer,cer,latency_ms
6930-75918-0000_urban_snr20dB.wav,20.0,none,0.125,0.0217,1626.34
6930-75918-0000_urban_snr20dB.wav,20.0,wiener,0.125,0.0217,935.44
6930-75918-0000_urban_snr20dB.wav,20.0,spectral_subtraction,0.5,0.2174,876.27
6930-75918-0000_urban_snr10dB.wav,10.0,none,0.125,0.0217,890.44
6930-75918-0000_urban_snr10dB.wav,10.0,wiener,0.125,0.0217,885.02
6930-75918-0000_urban_snr10dB.wav,10.0,spectral_subtraction,0.375,0.2174,881.81
6930-75918-0000_urban_snr5dB.wav,5.0,none,0.125,0.0217,920.98
6930-75918-0000_urban_snr5dB.wav,5.0,wiener,0.5,0.2826,891.52
6930-75918-0000_urban_snr5dB.wav,5.0,spectral_subtraction,0.125,0.0217,902.38
6930-75918-0007_urban_snr20dB.wav,20.0,none,0.1111,0.027,821.69
6930-75918-0007_urban_snr20dB.wav,20.0,wiener,0.1111,0.027,850.47
6930-75918-0007_urban_snr20dB.wav,20.0,spectral_subtraction,0.1111,0.027,845.56
6930-75918-0007_urban_snr10dB.wav,10.0,none,0.2222,0.0541,888.52
6930-75918-0007_urban_snr10dB.wav,10.0,wiener,0.2222,0.0541,886.61
6930-75918-0007_urban_snr10dB.wav,10.0,spectral_subtraction,0.2222,0.0541,845.13
6930-75918-0007_urban_snr5dB.wav,5.0,none,0.2222,0.0541,878.48
6930-75918-0007_urban_snr5dB.wav,5.0,wiener,0.3333,0.1351,900.59
6930-75918-0007_urban_snr5dB.wav,5.0,spectral_subtraction,0.4444,0.1351,877.19
6930-75918-0006_urban_snr20dB.wav,20.0,none,0.1176,0.022,1296.69
6930-75918-0006_urban_snr20dB.wav,20.0,wiener,0.1176,0.022,1294.23
6930-75918-0006_urban_snr20dB.wav,20.0,spectral_subtraction,0.1765,0.033,1305.88
6930-75918-0006_urban_snr10dB.wav,10.0,none,0.2353,0.0879,1319.47
6930-75918-0006_urban_snr10dB.wav,10.0,wiener,0.3529,0.1648,1355.71
6930-75918-0006_urban_snr10dB.wav,10.0,spectral_subtraction,0.3529,0.1319,1295.6
6930-75918-0006_urban_snr5dB.wav,5.0,none,0.2941,0.0989,1353.16
6930-75918-0006_urban_snr5dB.wav,5.0,wiener,0.3529,0.1319,1477.26
